feature,importance
opp_batting_vs_bowling,0.06502567248161481
team_batting_vs_bowling,0.06155344405577952
venue_hash,0.05406848796068568
team2_hash,0.04751526697154777
team_venue_fit,0.045920881703927274
opp_venue_fit,0.04509758921104174
delhi_daredevils_season_games,0.027398726052330173
mumbai_indians_season_games,0.026587840156915187
chennai_super_kings_season_games,0.026397386298456064
kolkata_knight_riders_season_games,0.026182947549628903
match_runs_scored,0.02598960186033639
kings_xi_punjab_season_games,0.02473096567657288
royal_challengers_bangalore_season_games,0.02166319393287026
team_bowl_overs_sum,0.0207629885100801
rajasthan_royals_season_games,0.02042708459658627
team_top_order_strength,0.01816362524353736
team_bowl_overs_avg,0.017924250199029147
team_bowling_strength,0.017739417835566745
team_balance_score,0.017459895286580304
team_bat_sr_avg,0.016889991274663393
team_pp_strength_avg,0.01687026675262922
team_batting_strength,0.016543626144847754
team_bowl_eco_avg,0.016331201155815395
team_season_career_delta_avg,0.01592329877154542
team_bat_balls_avg,0.015552002946445476
team_bat_avg_avg,0.01497090886141902
team_bat_runs_avg,0.014531098157290992
team_allround_strength,0.014380957867157112
team_consistency_score_avg,0.014103062396107962
deccan_chargers_season_games,0.014065597801049514
sunrisers_hyderabad_season_games,0.013883326664896367
team1_hash,0.013709217128448466
team_bat_runs_sum,0.013548502347856066
pune_warriors_season_games,0.012973016075804231
team_powerplay_bowling_strength,0.012906894338403486
team_middle_order_strength,0.012631894724663213
toss_decision_enc,0.012520688525327416
team_allround_index_avg,0.012481591027704629
team_middle_strength_avg,0.01198530747241366
team_batting_form_index_avg,0.011219620545607387
toss_win_flag,0.011131117631698374
season,0.010943540449692365
team_death_overs_strength,0.010428505663378823
team_death_strength_avg,0.009701232000490646
team_bowling_form_index_avg,0.009502532713009751
gujarat_lions_season_games,0.0071744336156193906
team_bowl_sr_avg,0.0064280885939132035
team_wkts_avg,0.0056567702028659855
match_wickets_lost,0.005508983846274923
kochi_tuskers_kerala_season_games,0.003328807073539803
rising_pune_supergiants_season_games,0.0031793708578934637
rising_pune_supergiant_season_games,0.0029489355326295535
team_matches_avg,0.0028148528053274393
team_wkts_sum,0.00262149245048366
team_dot_pct_avg,0.0
city_hash,0.0
match_type_enc,0.0
team_boundary_pct_avg,0.0
day_night_enc,0.0
team_role_strength_avg,0.0
team_spin_strength,0.0
team_role_bowler_avg,0.0
team_venue_adj_avg,0.0
team_opp_adj_avg,0.0
team_role_batter_avg,0.0
team_role_flex_avg,0.0
team_role_allrounder_avg,0.0
team1_recent_form_gap,0.0
